Date Start,Date End,Open,High,Low,Close,Volume,Market Cap
"Jan 01, 2024","Jan 02, 2024","$ 2,297.01","$ 2,365.28","$ 2,283.05","$ 2,364.73",$ 9.19B,$ 278.47B
"Dec 31, 2023","Jan 01, 2024","$ 2,304.02","$ 2,332.47","$ 2,286.80","$ 2,290.78",$ 9.33B,$ 277.27B
"Dec 30, 2023","Dec 31, 2023","$ 2,302.39","$ 2,330.24","$ 2,279.87","$ 2,307.43",$ 13.96B,$ 277.19B
"Dec 29, 2023","Dec 30, 2023","$ 2,355.20","$ 2,389.67","$ 2,278.70","$ 2,304.59",$ 18.10B,$ 281.66B
"Dec 28, 2023","Dec 29, 2023","$ 2,389.60","$ 2,447.60","$ 2,344.33","$ 2,354.31",$ 22.04B,$ 287.11B
"Dec 27, 2023","Dec 28, 2023","$ 2,234.91","$ 2,392.22","$ 2,220.11","$ 2,382.92",$ 14.89B,$ 275.81B
"Dec 26, 2023","Dec 27, 2023","$ 2,277.85","$ 2,280.53","$ 2,196.65","$ 2,236.05",$ 12.24B,$ 269.71B
"Dec 25, 2023","Dec 26, 2023","$ 2,281.66","$ 2,314.18","$ 2,266.72","$ 2,277.90",$ 10.56B,$ 274.89B
"Dec 24, 2023","Dec 25, 2023","$ 2,318.21","$ 2,338.01","$ 2,261.59","$ 2,281.79",$ 10.66B,$ 276.66B
"Dec 23, 2023","Dec 24, 2023","$ 2,336.58","$ 2,337.36","$ 2,273.83","$ 2,324.50",$ 15.45B,$ 276.22B
"Dec 22, 2023","Dec 23, 2023","$ 2,243.21","$ 2,348.54","$ 2,238.41","$ 2,334.57",$ 19.76B,$ 276.55B
"Dec 21, 2023","Dec 22, 2023","$ 2,203.20","$ 2,279.16","$ 2,191.21","$ 2,241.31",$ 16.93B,$ 266.67B
"Dec 20, 2023","Dec 21, 2023","$ 2,182.99","$ 2,265.32","$ 2,173.65","$ 2,203.63",$ 14.30B,$ 264.58B
"Dec 19, 2023","Dec 20, 2023","$ 2,220.53","$ 2,256.89","$ 2,146.98","$ 2,182.79",$ 14.06B,$ 266.50B
"Dec 18, 2023","Dec 19, 2023","$ 2,215.28","$ 2,225.42","$ 2,132.71","$ 2,219.81",$ 12.04B,$ 261.77B
"Dec 17, 2023","Dec 18, 2023","$ 2,240.60","$ 2,259.48","$ 2,208.90","$ 2,209.34",$ 8.86B,$ 268.43B
"Dec 16, 2023","Dec 17, 2023","$ 2,235.41","$ 2,275.71","$ 2,225.67","$ 2,237.84",$ 11.74B,$ 270.85B
"Dec 15, 2023","Dec 16, 2023","$ 2,319.48","$ 2,323.20","$ 2,226.26","$ 2,226.26",$ 15.54B,$ 272.89B
"Dec 14, 2023","Dec 15, 2023","$ 2,267.09","$ 2,337.12","$ 2,250.11","$ 2,321.51",$ 15.91B,$ 274.95B
"Dec 13, 2023","Dec 14, 2023","$ 2,209.31","$ 2,288.42","$ 2,159.38","$ 2,270.07",$ 15.42B,$ 265.32B
"Dec 12, 2023","Dec 13, 2023","$ 2,231.66","$ 2,247.45","$ 2,174.24","$ 2,211.45",$ 17.51B,$ 266.74B
"Dec 11, 2023","Dec 12, 2023","$ 2,364.19","$ 2,366.02","$ 2,172.84","$ 2,226.37",$ 17.07B,$ 269.63B
"Dec 10, 2023","Dec 11, 2023","$ 2,353.90","$ 2,389.30","$ 2,334.75","$ 2,367.23",$ 11.32B,$ 283.76B
"Dec 09, 2023","Dec 10, 2023","$ 2,369.83","$ 2,408.19","$ 2,346.06","$ 2,347.88",$ 14.88B,$ 284.68B
"Dec 08, 2023","Dec 09, 2023","$ 2,360.68","$ 2,391.08","$ 2,346.16","$ 2,365.79",$ 19.03B,$ 284.67B
"Dec 07, 2023","Dec 08, 2023","$ 2,234.77","$ 2,382.37","$ 2,231.50","$ 2,359.85",$ 15.55B,$ 275.00B
"Dec 06, 2023","Dec 07, 2023","$ 2,297.27","$ 2,311.25","$ 2,230.11","$ 2,232.64",$ 20.33B,$ 272.99B
"Dec 05, 2023","Dec 06, 2023","$ 2,243.46","$ 2,304.75","$ 2,198.78","$ 2,296.11",$ 17.31B,$ 269.21B
"Dec 04, 2023","Dec 05, 2023","$ 2,197.63","$ 2,272.62","$ 2,197.63","$ 2,246.86",$ 17.94B,$ 268.71B
"Dec 03, 2023","Dec 04, 2023","$ 2,167.50","$ 2,212.35","$ 2,154.53","$ 2,194.57",$ 12.93B,$ 260.74B
"Dec 02, 2023","Dec 03, 2023","$ 2,091.51","$ 2,177.73","$ 2,091.15","$ 2,168.33",$ 11.00B,$ 254.63B
"Dec 01, 2023","Dec 02, 2023","$ 2,056.36","$ 2,111.78","$ 2,051.52","$ 2,088.14",$ 12.68B,$ 251.62B
"Nov 30, 2023","Dec 01, 2023","$ 2,034.14","$ 2,059.64","$ 2,028.50","$ 2,059.64",$ 10.28B,$ 245.58B
"Nov 29, 2023","Nov 30, 2023","$ 2,054.36","$ 2,075.07","$ 2,025.62","$ 2,034.91",$ 12.96B,$ 246.55B
"Nov 28, 2023","Nov 29, 2023","$ 2,031.07","$ 2,077.86","$ 2,002.15","$ 2,053.70",$ 13.78B,$ 245.03B
"Nov 27, 2023","Nov 28, 2023","$ 2,065.50","$ 2,074.47","$ 1,994.75","$ 2,033.89",$ 12.63B,$ 244.85B
"Nov 26, 2023","Nov 27, 2023","$ 2,092.51","$ 2,100.55","$ 2,049.32","$ 2,067.44",$ 7.96B,$ 250.18B
"Nov 25, 2023","Nov 26, 2023","$ 2,083.83","$ 2,094.09","$ 2,070.33","$ 2,091.01",$ 13.42B,$ 250.80B
"Nov 24, 2023","Nov 25, 2023","$ 2,066.89","$ 2,130.82","$ 2,064.78","$ 2,083.11",$ 12.87B,$ 251.50B
"Nov 23, 2023","Nov 24, 2023","$ 2,066.32","$ 2,090.18","$ 2,046.51","$ 2,065.41",$ 15.85B,$ 248.50B
"Nov 22, 2023","Nov 23, 2023","$ 1,947.05","$ 2,091.83","$ 1,947.05","$ 2,068.75",$ 18.77B,$ 243.08B
"Nov 21, 2023","Nov 22, 2023","$ 2,026.00","$ 2,039.29","$ 1,947.27","$ 1,947.27",$ 15.04B,$ 241.19B
"Nov 20, 2023","Nov 21, 2023","$ 2,012.96","$ 2,063.98","$ 2,003.88","$ 2,026.07",$ 12.17B,$ 243.75B
"Nov 19, 2023","Nov 20, 2023","$ 1,967.01","$ 2,020.82","$ 1,951.28","$ 2,017.84",$ 8.54B,$ 237.23B
"Nov 18, 2023","Nov 19, 2023","$ 1,965.26","$ 1,977.83","$ 1,929.27","$ 1,970.76",$ 12.37B,$ 235.11B
"Nov 17, 2023","Nov 18, 2023","$ 1,966.95","$ 1,992.57","$ 1,917.38","$ 1,963.06",$ 16.59B,$ 236.33B
"Nov 16, 2023","Nov 17, 2023","$ 2,061.45","$ 2,084.04","$ 1,947.17","$ 1,967.17",$ 16.92B,$ 244.05B
"Nov 15, 2023","Nov 16, 2023","$ 1,986.30","$ 2,063.72","$ 1,971.47","$ 2,063.72",$ 16.18B,$ 241.69B
"Nov 14, 2023","Nov 15, 2023","$ 2,057.69","$ 2,066.71","$ 1,957.58","$ 1,984.94",$ 16.84B,$ 244.85B
"Nov 13, 2023","Nov 14, 2023","$ 2,047.29","$ 2,116.93","$ 2,036.54","$ 2,062.03",$ 14.15B,$ 248.59B
"Nov 12, 2023","Nov 13, 2023","$ 2,057.42","$ 2,069.46","$ 2,027.33","$ 2,050.08",$ 11.81B,$ 247.10B
"Nov 11, 2023","Nov 12, 2023","$ 2,081.56","$ 2,090.45","$ 2,039.24","$ 2,053.85",$ 15.79B,$ 248.24B
"Nov 10, 2023","Nov 11, 2023","$ 2,121.24","$ 2,132.10","$ 2,069.12","$ 2,081.43",$ 33.26B,$ 252.65B
"Nov 09, 2023","Nov 10, 2023","$ 1,895.45","$ 2,129.06","$ 1,891.66","$ 2,129.06",$ 17.99B,$ 236.20B
"Nov 08, 2023","Nov 09, 2023","$ 1,891.91","$ 1,910.62","$ 1,879.59","$ 1,897.78",$ 10.80B,$ 227.75B
"Nov 07, 2023","Nov 08, 2023","$ 1,901.89","$ 1,911.44","$ 1,860.58","$ 1,893.74",$ 11.81B,$ 227.33B
"Nov 06, 2023","Nov 07, 2023","$ 1,896.26","$ 1,917.10","$ 1,878.71","$ 1,903.75",$ 12.54B,$ 228.22B
"Nov 05, 2023","Nov 06, 2023","$ 1,868.28","$ 1,915.41","$ 1,857.60","$ 1,898.52",$ 9.63B,$ 227.15B
"Nov 04, 2023","Nov 05, 2023","$ 1,835.57","$ 1,874.38","$ 1,832.28","$ 1,866.32",$ 9.15B,$ 221.95B
"Nov 03, 2023","Nov 04, 2023","$ 1,802.32","$ 1,841.27","$ 1,781.90","$ 1,841.27",$ 11.62B,$ 217.38B
"Nov 02, 2023","Nov 03, 2023","$ 1,849.65","$ 1,873.37","$ 1,795.93","$ 1,802.71",$ 16.06B,$ 219.98B
"Nov 01, 2023","Nov 02, 2023","$ 1,815.44","$ 1,859.03","$ 1,790.88","$ 1,848.05",$ 10.90B,$ 218.51B
"Oct 31, 2023","Nov 01, 2023","$ 1,812.66","$ 1,821.53","$ 1,791.22","$ 1,818.91",$ 9.57B,$ 217.29B
"Oct 30, 2023","Oct 31, 2023","$ 1,800.79","$ 1,832.14","$ 1,785.43","$ 1,813.01",$ 8.79B,$ 217.32B
"Oct 29, 2023","Oct 30, 2023","$ 1,781.74","$ 1,815.22","$ 1,774.20","$ 1,799.89",$ 5.40B,$ 215.80B
